Datum,Rubrik,Beskrivning,Plats,Länk
2024-10-01T08:08:44+02:00,"30 september 23.59, Trafikolycka, Västerås",Bilist kolliderade med träd.,Västerås,/aktuellt/handelser/2024/september/30/30-september-23.59-trafikolycka-vasteras/
2024-10-01T07:15:40+02:00,"01 oktober 06.38, Trafikolycka, singel, Kungälv",SOS larmas om en singelolycka på länsväg 616.,Kungälv,/aktuellt/handelser/2024/oktober/1/01-oktober-06.38-trafikolycka-singel-kungalv/
2024-10-01T07:48:21+02:00,"01 oktober 03.54, Explosion, Stockholm",Någonting exploderar vid en port i Dalen.,Stockholm,/aktuellt/handelser/2024/oktober/1/01-oktober-03.54-explosion-stockholm/
2024-10-01T07:46:50+02:00,"30 september 21.51, Misshandel, Älvkarleby",Bråk efter misshandel i Skutskär.,Älvkarleby,/aktuellt/handelser/2024/september/30/30-september-21.51-misshandel-alvkarleby/
2024-10-01T07:44:18+02:00,"01 oktober 07.44, Sammanfattning natt, Jönköpings län","Sammanfattning av nattens händelser, Jönköpings län",Jönköpings län,/aktuellt/handelser/2024/oktober/1/01-oktober-07.44-sammanfattning-natt-jonkopings-lan/
2024-10-01T07:43:54+02:00,"01 oktober 07.43, Sammanfattning natt, Östergötlands län","Sammanfattning av nattens händelser, Östergötlands län",Östergötlands län,/aktuellt/handelser/2024/oktober/1/01-oktober-07.43-sammanfattning-natt-ostergotlands-lan/
2024-10-01T07:42:27+02:00,"01 oktober 07.38, Sammanfattning natt, Södermanlands län","Sammanfattning av nattens händelser, Södermanlands län",Södermanlands län,/aktuellt/handelser/2024/oktober/1/01-oktober-07.38-sammanfattning-natt-sodermanlands-lan/
2024-10-01T07:21:44+02:00,"01 oktober 04.28, Motorfordon, stöld, Falun",Polisen har gripit två män som är misstänkta för att ha försökt stjäla en MC i centrala Falun natten mot tisda,Falun,/aktuellt/handelser/2024/oktober/1/01-oktober-04.28-motorfordon-stold-falun/
2024-10-01T07:15:29+02:00,"01 oktober 07.15, Sammanfattning natt, Jämtlands län",Ett urval av polisens arbete klockan 22:00-07:00,Jämtlands län,/aktuellt/handelser/2024/oktober/1/01-oktober-07.15-sammanfattning-natt-jamtlands-lan/
2024-10-01T07:15:06+02:00,"01 oktober 07.14, Sammanfattning natt, Västernorrlands län",Ett urval av polisens arbete klockan 22:00-07:00,Västernorrlands län,/aktuellt/handelser/2024/oktober/1/01-oktober-07.14-sammanfattning-natt-vasternorrlands-lan/
2024-10-01T07:14:27+02:00,"01 oktober 07.13, Sammanfattning natt, Västerbottens län",Ett urval av polisens arbete klockan 22:00-07:00,Västerbottens län,/aktuellt/handelser/2024/oktober/1/01-oktober-07.13-sammanfattning-natt-vasterbottens-lan/
2024-10-01T07:13:55+02:00,"01 oktober 07.13, Sammanfattning natt, Norrbottens län",Ett urval av polisens arbete klockan 22:00-07:00,Norrbottens län,/aktuellt/handelser/2024/oktober/1/01-oktober-07.13-sammanfattning-natt-norrbottens-lan/
2024-10-01T07:03:38+02:00,"01 oktober 07.02, Sammanfattning natt, Dalarnas län",Lugn natt i Dalarna utan allvarliga händelser eller brott.,Dalarnas län,/aktuellt/handelser/2024/oktober/1/01-oktober-07.02-sammanfattning-natt-dalarnas-lan/
2024-10-01T07:03:01+02:00,"01 oktober 07.02, Sammanfattning kväll och natt, Hallands län",Dagens presstalesperson är på plats.,Hallands län,/aktuellt/handelser/2024/oktober/1/01-oktober-07.02-sammanfattning-kvall-och-natt-hallands-lan/
2024-10-01T07:02:51+02:00,"01 oktober 07.01, Sammanfattning natt, Värmlands län",Lugn natt i Värmlands län utan allvarliga händelser eller brott.,Värmlands län,/aktuellt/handelser/2024/oktober/1/01-oktober-07.01-sammanfattning-natt-varmlands-lan/
2024-10-01T07:02:01+02:00,"01 oktober 07.00, Sammanfattning kväll och natt, Västra Götalands län",Dagens presstalesperson är på plats.,Västra Götalands län,/aktuellt/handelser/2024/oktober/1/01-oktober-07.00-sammanfattning-kvall-och-natt-vastra-gotalands-lan/
2024-10-01T07:01:54+02:00,"01 oktober 07.01, Sammanfattning natt, Örebro län",Lugn natt i länet utan allvarliga händelser eller brott.,Örebro län,/aktuellt/handelser/2024/oktober/1/01-oktober-07.01-sammanfattning-natt-orebro-lan/
2024-10-01T06:38:20+02:00,"01 oktober 01.48, Rattfylleri, Kristianstad","Påverkad förare, Kristianstad.",Kristianstad,/aktuellt/handelser/2024/oktober/1/01-oktober-01.48-rattfylleri-kristianstad/
2024-10-01T06:36:15+02:00,"01 oktober 01.00, Rattfylleri, Bjuv","Påverkad förare, Billesholm.",Bjuv,/aktuellt/handelser/2024/oktober/1/01-oktober-01.00-rattfylleri-bjuv/
2024-10-01T06:32:39+02:00,"30 september 22.51, Brand, Malmö","Bilbrand, Rosengård.",Malmö,/aktuellt/handelser/2024/september/30/30-september-22.51-brand-malmo/
2024-10-01T06:29:40+02:00,"30 september 22.00, Brand, Markaryd","Brand i industribyggnad, Markaryd.",Markaryd,/aktuellt/handelser/2024/september/30/30-september-22.00-brand-markaryd/
2024-10-01T06:23:54+02:00,"01 oktober 06.21, Olaga hot, Tingsryd","Man gripen, Tingsryd.",Tingsryd,/aktuellt/handelser/2024/oktober/1/01-oktober-06.21-olaga-hot-tingsryd/
2024-10-01T06:21:22+02:00,"01 oktober 04.32, Stöld/inbrott, Malmö","Man gripen, Innerstaden.",Malmö,/aktuellt/handelser/2024/oktober/1/01-oktober-04.32-stoldinbrott-malmo/
2024-10-01T06:14:57+02:00,"01 oktober 05.11, Stöld, Ängelholm","Dieselstöld, Ängelholm.",Ängelholm,/aktuellt/handelser/2024/oktober/1/01-oktober-05.11-stold-angelholm/
2024-09-30T22:02:53+02:00,"30 september 22.02, Trafikolycka, Norrköping",Arbetsfordon krockade i en viadukt i Norrköping.,Norrköping,/aktuellt/handelser/2024/september/30/30-september-22.02-trafikolycka-norrkoping/
2024-09-30T22:00:10+02:00,"30 september 21.59, Trafikbrott, Norrköping","Bilförare försökte smita, men stoppades efter kort efterföljande.",Norrköping,/aktuellt/handelser/2024/september/30/30-september-21.59-trafikbrott-norrkoping/
2024-09-30T21:56:37+02:00,"30 september 21.55, Rattfylleri, Kumla",Misstänkt påverkad bilist stoppad på Rv 51 vid Ekeby.,Kumla,/aktuellt/handelser/2024/september/30/30-september-21.55-rattfylleri-kumla/
2024-09-30T21:55:42+02:00,"30 september 21.55, Övrigt, Västra Götalands län",Efter klockan 22:00 finns det ingen presstalesperson i tjänst.,Västra Götalands län,/aktuellt/handelser/2024/september/30/30-september-21.55-ovrigt-vastra-gotalands-lan/
2024-09-30T21:55:33+02:00,"30 september 21.55, Övrigt, Hallands län",Efter klockan 22:00 finns det ingen presstalesperson i tjänst.,Hallands län,/aktuellt/handelser/2024/september/30/30-september-21.55-ovrigt-hallands-lan/
2024-09-30T21:52:58+02:00,"30 september 21.42, Brand, Karlstad",Det brinner i ett skjul vid en förskola i Karlstad.,Karlstad,/aktuellt/handelser/2024/september/30/30-september-21.42-brand-karlstad/
2024-09-30T21:49:07+02:00,"30 september 20.06, Rattfylleri, Rättvik",Polispatrull har stoppat misstänkt påverkad bilist.,Rättvik,/aktuellt/handelser/2024/september/30/30-september-20.06-rattfylleri-rattvik/
2024-09-30T21:38:03+02:00,"30 september 17.52, Våld/hot mot tjänsteman, Härnösand",Man gripen för hot mot tjänsteman.,Härnösand,/aktuellt/handelser/2024/september/30/30-september-17.52-valdhot-mot-tjansteman-harnosand/
2024-09-30T21:23:41+02:00,"30 september 17.10, Narkotikabrott, Älvsbyn",Två män anhållna misstänkta för narkotikabrott.,Älvsbyn,/aktuellt/handelser/2024/september/30/30-september-17.10-narkotikabrott-alvsbyn/
2024-09-30T21:01:32+02:00,"30 september 19.21, Misshandel, Hässleholm",Kvinna misshandlad av man.,Hässleholm,/aktuellt/handelser/2024/september/30/30-september-19.21-misshandel-hassleholm/
2024-09-30T20:57:56+02:00,"30 september 20.16, Trafikolycka, Växjö",Elsparkcykel i olycka.,Växjö,/aktuellt/handelser/2024/september/30/30-september-20.16-trafikolycka-vaxjo/
2024-09-30T20:57:45+02:00,"30 september 20.05, Fylleri/LOB, Skellefteå",Berusad man omhändertagen vid Sara kulturhus.,Skellefteå,/aktuellt/handelser/2024/september/30/30-september-20.05-fyllerilob-skelleftea/
2024-09-30T20:34:18+02:00,"30 september 17.48, Vapenlagen, Södertälje",Polisen får samtal om att smällar hörts i Bårsta.,Södertälje,/aktuellt/handelser/2024/september/30/30-september-17.48-vapenlagen-sodertalje/
